time,supportnumber,commentnumber,repostnumber,text
19分钟前,502,119,75,"一图了解新冠肺炎世界疫情形势！关注！ "
53分钟前,918,210,134,"上海武康路，是追寻上海历史文化印记的好去处。这里的建筑融汇了中外文化，新与旧、潮流与传统、怀旧性与现代性交融。看直播，一起打卡！（总台央视记者窦筠韵 周力）  . "
1小时前,1284,188,219,"近期广东多地暴雨，惠州市龙门县、博罗县遭受汛情最为严重，境内所有河流水位全线上涨，龙门县永汉河出现决堤险情。决堤口附近村庄合口村被洪水围困，目前积水最深达一米。直击现场，关注！（总台央视记者陈杰雄）  . "
1小时前,10193,1293,956,"最后夹菜的画面，好暖~转！致敬中国军人！  "
2小时前,517,96,140,"恭喜 等10名用户获得。微博官方唯一抽奖工具 对本次抽奖进行监督，结果公正有效。公示链接："
2小时前,4967,844,1044,"  "
3小时前,2387,289,293,"湖南长沙迎来强降雨天气，长沙市气象台昨晚发布今年首个暴雨红色预警信号，城区累计降水最大点位雨花区4小时降雨量达138.2毫米。目前路面内涝点积水基本消退，雨花区一处写字楼地下车库进水严重。关注！（总台央视记者李艳君）  ..."
3小时前,1814,141,260,"近日，长沙一书画摄影展上，“战士的手”画作原型胡佩现身。一4岁小男孩摸着她的手认真地问：“小姐姐的手还疼吗？”疫情期间，湖南省儿童医院护士胡佩坚守隔离病房，一双手被滑石粉和消毒剂“划出”道道血痕……网友：孩子太有爱了！致敬医护人员！ ..."
4小时前,3782,295,356,"近日，陕西西安一小学门前，正值放学交通高峰期，交警冒雨指挥交通。一位二年级小学生注意到这一幕，主动跑去为交警撑伞挡雨。年纪小身高有限，小朋友垫起脚努力把伞撑高~  "
4小时前,12938,1269,839,"随着疫情趋缓，荷兰一家夜店复工。为了让人们在娱乐的同时保持社交距离，店家按照1.5米的间隔放置椅子，客人们则坐在椅子上，伴随着动感的音乐扭动身体……店家还规定：要提前预约，每次最多允许30位客人入场。看视频↓  "
5小时前,13584,1021,1086,"近日，空军空降兵某旅通过民航运输等方式将人员、物资和武器装备投送至数千公里之外的西北高原某地。当伞兵听到民航乘机安全须知时，坐得端端正正，真是乖巧惹人爱。有兵哥哥说，“确实比我们的飞机小，包还放不下”……   "
6小时前,4969,494,812,"南京任女士的舅公张璋保，1941年加入新四军抗日，牺牲时年仅28岁，没有相片，只有一张烈士证。任女士的外婆直到临终都念叨着要找到他的墓，再为他画张像。三代人79年接力寻找，终于，在江苏常州武进区革命烈士陵园找到了张璋保的名字！后人泪如雨下… ..."
6小时前,5388,500,557,"北京市教委发布2020—2021学年度校历↓↓ "
7小时前,1558,679,581,"近期，南方遭遇了入汛以来最强降雨，广西、广东内9地降雨量打破当地6月上旬降雨总量纪录！中央气象台今日6时发布暴雨蓝色预警，预计今明两天，广西、广东、贵州、湖南、江西、福建、浙江、安徽等地局地有大雨或暴雨，部分地区大暴雨！ "
7小时前,2310,481,386,"截至6月8日，北京有16所高校组织的首批2687名学生，已有序自愿返校。目前，北京各高校已研究制定出非毕业年级学生返校工作方案，对确有需要在本学期返校的学生，学校将一对一通知到每个人。返校后你最想做的事是____？  "
8小时前,735,175,204,"6月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例3例，均为境外输入病例（内蒙古2例，天津1例）；无新增死亡病例；新增疑似病例1例，为境外输入病例（上海1例）。<br />  当日新增治愈出院病例6例，解除医学观察的密切接触者527人，重症病 ..."
8小时前,41192,1865,1946,"近日，厦门一3岁男孩偷跑出门，母亲寻找未果后报警，没想到接线员回复说孩子已在派出所。原来，男孩光脚在路上迷路后，被莲花中学5名初一女生遇到，她们找路人报警，一直照顾着孩子，直到民警把孩子接走才离开。  ..."
8小时前,9387,648,9167,"转发！学技能！技多不压身！ "
9小时前,42043,3522,751,"当地时间9日，美国有线电视新闻网报道称，美国国务院拟在6月22日左右重启美国驻武汉总领馆。（央视记者刘骁骞） "
