time,SupportSum,CommentSum,RepostSum,CovidSum,WeiboSum,CovidPrecent,AverageSupport,AverageComment,AverageRepost,CommSupportRatio,RepoSupportRatio
01-20,9411561,386501,481484,22,43,0.5116279069767442,218873.51162790696,8988.39534883721,11197.302325581395,0.04106662008565848,0.051158782267893714
01-21,7883133,402837,255843,45,64,0.703125,123173.953125,6294.328125,3997.546875,0.051101129462105994,0.032454482247096426
01-22,8822457,523994,11165213,47,72,0.6527777777777778,122534.125,7277.694444444444,155072.40277777778,0.05939320531684088,1.2655446209598982
01-23,11178694,637799,596673,61,81,0.7530864197530864,138008.56790123458,7874.061728395061,7366.333333333333,0.05705487599893154,0.05337591314334215
01-24,13640049,1011990,2694977,94,126,0.746031746031746,108254.35714285714,8031.666666666667,21388.70634920635,0.07419254872178245,0.19757824916904623
01-25,13836595,775481,428385,102,121,0.8429752066115702,114352.02479338842,6408.93388429752,3540.371900826446,0.05604565285028578,0.030960290447180103
01-26,20400171,1068477,663961,96,105,0.9142857142857143,194287.34285714285,10175.971428571429,6323.438095238095,0.052375884496262314,0.032546835024078964
01-27,15169655,958482,520625,112,128,0.875,118512.9296875,7488.140625,4067.3828125,0.06318416602091478,0.034320160873797065
01-28,5994635,310823,226639,96,104,0.9230769230769231,57640.721153846156,2988.6826923076924,2179.221153846154,0.051850196050301646,0.03780697240115537
01-29,8121108,506967,327617,108,121,0.8925619834710744,67116.59504132232,4189.809917355372,2707.5785123966944,0.062425841399966604,0.04034141646681709
01-30,6588765,468750,248546,82,90,0.9111111111111111,73208.5,5208.333333333333,2761.6222222222223,0.07114383348017421,0.03772269917048187
01-31,9334776,403382,231046,70,82,0.8536585365853658,113838.73170731707,4919.292682926829,2817.6341463414633,0.04321282053259767,0.024751102758116532
02-01,19073925,696065,416126,70,86,0.813953488372093,221789.82558139536,8093.779069767442,4838.674418604651,0.036493013367725834,0.021816485070587203
02-02,8807104,337613,363383,77,94,0.8191489361702128,93692.59574468085,3591.627659574468,3865.776595744681,0.03833416750841139,0.04126021448140047
02-03,5123634,336375,242409,44,62,0.7096774193548387,82639.25806451614,5425.403225806452,3909.8225806451615,0.0656516449067205,0.04731192743275574
02-04,3108869,224165,133128,67,76,0.881578947368421,40906.17105263158,2949.5394736842104,1751.6842105263158,0.07210500024285359,0.04282200375763662
02-05,4379524,253841,229273,52,61,0.8524590163934426,71795.47540983607,4161.327868852459,3758.5737704918033,0.05796086515338197,0.05235112309008924
02-06,6459532,459897,263430,42,59,0.711864406779661,109483.59322033898,7794.864406779661,4464.9152542372885,0.07119664396739578,0.04078159222680529
02-07,5499042,495235,351006,64,74,0.8648648648648649,74311.37837837837,6692.364864864865,4743.324324324324,0.09005841381098745,0.06383039082080115
02-08,2794554,186876,184433,55,71,0.7746478873239436,39359.91549295775,2632.056338028169,2597.6478873239435,0.06687149362653218,0.06599729330691051
02-09,6812965,299491,213514,39,53,0.7358490566037735,128546.50943396226,5650.773584905661,4028.566037735849,0.04395898114844271,0.03133936545982549
02-10,2899166,209552,123882,36,48,0.75,60399.291666666664,4365.666666666667,2580.875,0.07228009710378779,0.04273021965627356
02-11,3202921,263479,179867,40,49,0.8163265306122449,65365.73469387755,5377.122448979592,3670.7551020408164,0.08226209762900802,0.05615717652730117
